id;id_autoevalucion;a_avance;id_mes;id_usuarios_xevaluacion;id_estado
1;81451;green;6682;41391;96414
2;40957;Tunnel;80944;87080;68274
3;19872;Tools card Extensions;21386;31939;9240
4;42795;Steel human-resource;91934;18818;6464
5;85764;Gorgeous object-oriented;99363;22381;45127
6;59791;Realigned;81742;10731;87795
7;89615;navigate Practical;10549;12166;68716
8;36404;cyan Personal Loan Account firmware;8781;57153;88735
9;41261;RSS;63209;87808;25305
10;46820;asynchronous Cotton Wisconsin;31683;36994;19360
