id;id_autoevalucion_xproceso;ap_fecha_creacion;sp_fecha_modificacion;ap_comentario;ap_puntuacion;id_autoevalucion;id_mes;id_usuarios_xevaluacion;id_estado;id_verificador
1;49463;2020-11-27;2020-11-27;technologies Wooden;58008;58637;65616;25011;87172;8220
2;14076;2020-11-27;2020-11-27;Ville;50058;70405;15085;48625;17823;26459
3;39657;2020-11-27;2020-11-27;capacitor Sports Integration;10945;89028;96322;57226;25481;96132
4;67941;2020-11-27;2020-11-27;yellow;46386;42825;92431;65706;11620;82632
5;30268;2020-11-27;2020-11-27;e-business Technician Buckinghamshire;90206;33518;79981;90893;63431;54105
6;53681;2020-11-28;2020-11-27;plum violet Operations;64736;15238;62686;93212;84777;52620
7;96218;2020-11-27;2020-11-28;Maine Practical Soft Chair;91452;54831;93678;42071;90944;14370
8;972;2020-11-27;2020-11-27;application;74094;14879;69516;2879;60765;84046
9;87731;2020-11-27;2020-11-27;Regional;46161;64582;44745;92652;51604;92561
10;90274;2020-11-28;2020-11-28;bricks-and-clicks Frozen visualize;71345;68413;96648;70611;13637;77399
