id;id_criterios_evaluacion;ce_nombre;ce_fecha_creacion;ce_fecha_modificacion;id_autoevalucion_xproceso;id_autoevalucion;id_mes;id_usuarios_xevaluacion;id_estado;id_verificador;id_criterios_evaluacion_x_item
1;82166;Direct Outdoors;2020-11-27;2020-11-28;44303;30457;80817;1315;28888;69177;6526
2;75817;Sleek;2020-11-27;2020-11-27;65651;4246;8370;16690;73748;8024;89011
3;67657;Estates impactful Wyoming;2020-11-27;2020-11-27;30114;10604;85891;87053;19690;2044;49965
4;47480;Bedfordshire;2020-11-27;2020-11-28;48404;48216;55789;43451;33615;25655;99851
5;48817;Metical Idaho;2020-11-27;2020-11-27;72103;69905;71440;98656;84739;54454;98727
6;69567;unleash migration;2020-11-27;2020-11-27;9604;5034;99534;41168;54203;57318;69168
7;69044;Investment Account Bahamian Dollar Division;2020-11-27;2020-11-28;34985;41440;48347;62712;76349;22926;97727
8;74215;Nakfa end-to-end;2020-11-27;2020-11-27;23058;86759;10622;62221;30462;34713;4116
9;81674;Investment Account Fords Planner;2020-11-27;2020-11-28;20501;85104;28216;27967;1185;41450;76626
10;79201;protocol Mobility;2020-11-27;2020-11-27;83827;47727;30016;24123;93802;70656;20910
