id;id_criterios_evaluacion_x_item;cei_fecha_creacion;cei_fecha_modificacion;cei_nombre
1;26281;2020-11-28;2020-11-27;Pine
2;85539;2020-11-27;2020-11-27;synergies Customer XSS
3;72704;2020-11-27;2020-11-27;microchip
4;47229;2020-11-27;2020-11-27;clear-thinking lime backing up
5;2317;2020-11-27;2020-11-27;Jamaican Dollar Open-source withdrawal
6;80918;2020-11-27;2020-11-27;Bedfordshire Refined Steel Keyboard
7;80196;2020-11-27;2020-11-27;backing up facilitate Burgs
8;82730;2020-11-27;2020-11-27;Delaware Gorgeous Wooden
9;78518;2020-11-27;2020-11-28;Comoros override
10;79497;2020-11-27;2020-11-27;Developer Credit Card Account
