id;id_fuente_referencia_x_item;fri_fecha_creacion;fri_fecha_modificacion;fri_nombre
1;4455;2020-11-27;2020-11-27;Practical Steel Towels
2;37388;2020-11-27;2020-11-27;generating port transmitting
3;55667;2020-11-27;2020-11-27;SMTP compressing
4;35969;2020-11-27;2020-11-27;Organized
5;23061;2020-11-27;2020-11-27;Planner invoice
6;8867;2020-11-27;2020-11-27;Intuitive neural extranet
7;38926;2020-11-27;2020-11-27;Rand Unbranded
8;94742;2020-11-27;2020-11-27;Product Soft
9;22774;2020-11-27;2020-11-27;Tasty
10;26354;2020-11-27;2020-11-27;integrate Comoro Franc
