id;id_subproceso;sp_descripcion;id_proceso;id_macroproceso;id_verificador
1;32572;Marketing;41658;20134;122
2;97072;seize Vision-oriented;14993;56199;74049
3;27642;synthesizing expedite benchmark;98422;72835;98204
4;26498;Garden payment Wyoming;51192;57930;13605
5;3975;deposit Small Plastic Ball Berkshire;44951;29198;1396
6;13700;Wallis and Futuna;87410;13305;74800
7;14422;Incredible Soft Ball;67314;10602;57130
8;3175;payment Director fault-tolerant;61909;74324;86799
9;15246;Robust Vatu Plastic;81062;79114;86310
10;51003;Gorgeous Wooden Keyboard Metal;40545;30587;37200
