id;id_tecnicas_evaluativas;te_nombre;te_fecha_creacion;te_fecha_modificacion;id_autoevalucion_xproceso;id_autoevalucion;id_mes;id_usuarios_xevaluacion;id_estado;id_verificador;id_tecnicas_evaluativas_x_item
1;51051;Yemen ubiquitous;2020-11-27;2020-11-27;9788;89358;48602;62098;62257;6540;38386
2;32263;human-resource digital;2020-11-27;2020-11-27;34244;32292;41483;33038;58842;91705;90978
3;60644;strategy Costa Rican Colon;2020-11-27;2020-11-27;72708;34536;5083;9520;66491;33355;404
4;45132;Open-source;2020-11-27;2020-11-27;6436;39798;98715;62374;58516;81664;88346
5;71539;Cotton SSL;2020-11-27;2020-11-27;16329;76573;99855;14062;48844;60859;64979
6;78297;Sausages project;2020-11-27;2020-11-27;34922;2585;68884;87090;6691;66807;87108
7;21912;Identity;2020-11-27;2020-11-27;2992;59482;28736;66049;75262;27317;50792
8;4820;hack Tasty Steel Shoes global;2020-11-27;2020-11-27;66665;15287;65542;80651;79156;24101;99707
9;64996;Saint Martin;2020-11-27;2020-11-27;87184;53911;68704;46964;45484;62364;84165
10;97517;engage;2020-11-27;2020-11-28;54036;25182;43816;5822;55391;22043;93270
