id;id_tecnicas_evaluativas_x_item;ti_fecha_creacion;ti_fecha_modificacion;ti_nombre
1;26477;2020-11-27;2020-11-27;hard drive Refined efficient
2;15231;2020-11-27;2020-11-27;Mountain backing up Fish
3;7038;2020-11-27;2020-11-27;alliance bluetooth International
4;95001;2020-11-27;2020-11-27;Inlet value-added
5;66990;2020-11-27;2020-11-27;Extensions
6;4882;2020-11-27;2020-11-27;neural-net productize
7;46327;2020-11-27;2020-11-27;Sleek synthesize
8;80269;2020-11-27;2020-11-27;Soft Central Baby
9;39831;2020-11-27;2020-11-27;auxiliary Home Loan Account
10;93938;2020-11-27;2020-11-27;capacitor USB Clothing
